164;J0608+1635;06:08:51.662;5.0e-03;+16:35:09.4;4.0e-01;*;0;*;0;57584.00;86.08
165;J0609+2130;06:09:58.8861;2.0e-04;+21:30:02.84;9.0e-02;*;0;*;0;52758.00;38.73
166;J0610-2100;06:10:13.596735;7.0e-06;-21:00:27.89913;1.1e-04;9.11;3.0e-02;16.45;3.0e-02;55699;60.6722
167;J0612+3721;06:12:48.6867;1.5e-03;+37:21:37.36;1.1e-01;5;3.0e+00;5;1.2e+01;49679.00;27.15495
168;J0613-0200;06:13:43.975901;2.2e-06;-02:00:47.23742;7.2e-05;1.834;5.0e-03;-10.353;1.3e-02;55636;38.7750
169;J0613+3731;06:13:12.150;1.1e-02;+37:31:38.3;9.0e-01;*;0;*;0;56000.00;18.990
170;J0614+2229;06:14:17.0058;1.0e-04;+22:29:56.848;1.0e-03;-0.24;4.0e-02;-1.25;4.0e-02;56000.00;96.91
171;J0614-3329;06:14:10.3478;3.0e-04;-33:29:54.118;4.0e-03;0.58;9.0e-02;-1.92;1.2e-01;55100;37.05245
172;J0621+0336;06:21:11.221;5.0e-03;+03:36:45.52;1.0e-01;*;0;*;0;54236.00;72.53
173;J0621+1002;06:21:22.11436;3.0e-05;+10:02:38.7352;1.5e-03;3.23;1.2e-01;-0.5;5.0e-01;55000.00;36.5533
174;J0621+2514;06:21:10.8542;1.0e-04;+25:14:03.83;3.0e-02;*;0;*;0;56300.00;83.633
175;J0622+3749;06:22:10.51;2.0e-02;+37:49:13.6;9.0e-01;*;0;*;0;55225.00;*
176;J0623+0340;06:23:46.759;1.0e-02;+03:40:06.8;4.0e-01;*;0;*;0;54666.00;54
177;J0624-0424;06:24:20.028;2.6e-03;-04:24:50.45;1.1e-01;*;0;*;0;49876.00;70.835
178;J0627+0649;06:27:53.6286;8.0e-04;+06:49:54.13;5.0e-02;*;0;*;0;54466.00;86.60
179;J0627+0706;06:27:44.172;4.0e-03;+07:06:33.0;2.0e-01;*;0;*;0;57600;138.25
180;J0628+0909;06:28:36.183;5.0e-03;+09:09:13.9;3.0e-01;*;0;*;0;54990.00;88.3
181;J0629+2415;06:29:05.7273;1.0e-04;+24:15:41.546;1.0e-03;3.56;1.2e-01;-4.68;8.0e-02;56000.00;84.1762
